Year,Quarter,Company_ID,Revenue,Expenses,Operating_Income,Net_Income,Assets,Liabilities,Equity,Cash_Flow,EPS,ROE,ROA,Debt_to_Equity,Stock_Price,Volume_Traded,News_Sentiment_Score,Social_Media_Buzz,Sector_Trend_Index,Global_Economic_Score,Inflation_Rate,Exchange_Rate,Interest_Rate,Audit_Flag,Fraud_Flag,Market_Shock_Flag,Policy_Change_Flag,Target_Revenue_Next_Qtr,Target_Anomaly_Class
2015,1,CMP_001,229991.30609200805,212058.65545134744,17932.650640660606,10592.371034024058,531737.3791346552,171875.30482239343,359862.0743122618,18585.013220648085,1.6524669302705335,2.9434530032839135,1.9920305492275132,0.47761438920971905,359.87483734210184,2685,-0.8871768419457995,343,0.8324426408004217,0.21233911067827616,2.272774770449704,64.58511274633585,4.433937943676302,0,0,0,0,232953.17034007085,0
2015,2,CMP_001,214801.52169546796,190523.22866205,24278.293033417955,7500.65361252275,515383.507891546,260626.2318667623,254757.2760247837,11386.872145453388,5.289400208139045,2.944235285273289,1.4553538282992826,1.0230374414955186,311.6215289126904,31740,-0.09900149606091402,273,0.9488855372533332,0.9656320330745594,6.658781436815228,67.61534422933427,2.781376912051071,0,0,0,0,202861.81643528273,0
2015,3,CMP_001,231901.98838676684,185517.5190161736,46384.46937059323,36708.803229252066,705013.5931885446,365679.34934573073,339334.2438428139,34481.62006213497,3.774194500484273,10.81788941002261,5.206822050512561,1.077637627150652,392.06375521333496,1161,-0.20969952799637115,995,0.5978999788110851,0.9218742350231168,1.6194475143634364,64.89957156047863,2.3618183112843045,0,0,0,0,226367.15489856966,0
2015,4,CMP_001,213291.5593433939,186390.89561632354,26900.66372707035,9867.709015759756,458385.16476781183,318465.2818466752,139919.88292113662,16451.380555209616,3.53879050775787,7.052399422976588,2.152711251193763,2.27605451918633,22.65061621932915,6258,-0.6023151918223897,391,0.7290071680409873,0.7712703466859457,1.5183125621386324,68.96164321360682,2.9269524762010377,0,0,0,0,220837.20796355658,0
2016,1,CMP_001,210824.82338131702,185755.829807102,25068.993574215012,9124.900899144051,690475.5293504379,452182.1340358685,238293.3953145694,11208.124776573291,4.394687191704519,3.82927142697276,1.3215386369634656,1.8975856776850493,362.3574978670376,18412,0.12255439513899247,766,0.25606832276132396,0.04043358953843135,5.974640227800512,62.772270520295784,5.514692014926161,0,0,0,0,210554.56428854028,0
2016,2,CMP_001,227546.405199657,205768.1474887161,21778.257710940903,13732.339339919363,884178.6916195734,477055.2413322636,407123.45028730977,19154.11333551493,1.5387735712005681,3.3730160545231076,1.553118104980055,1.1717704813996899,319.6899431042208,43557,0.26680751302084693,645,0.45653457048291024,0.2184404372168336,3.9155696350925635,82.0820064729717,4.594760168042192,0,0,1,0,255190.79936769404,1
2016,3,CMP_001,208168.92429656893,187469.22270572776,20699.70159084117,13229.863793697044,638699.4884122675,315474.10839324695,323225.3800190206,18616.4042870511,3.8630599129455296,4.093077032787003,2.071375354720409,0.9760189882820541,137.1802506789316,8994,-0.35359413595848954,607,0.5581020020173412,0.4038361710580408,1.4542457297628708,66.34788534835862,3.9750085027088096,0,0,0,1,210735.5137116367,0
2016,4,CMP_001,221994.2298153389,209292.0808145025,12702.14900083642,-2508.4327724850828,679717.287442309,325661.56942707463,354055.71801523434,784.9635635848372,-0.3960097325459623,-0.7084853159685871,-0.3690406024428187,0.9198031633344841,58.809596639703315,45215,-0.5247249120152007,766,0.8031397563798959,0.4703006344460384,7.883961986263901,69.97061106111383,8.531454985755072,0,0,0,0,215987.25345529936,0
2017,1,CMP_001,218363.2322843273,205621.1019786025,12742.1303057248,4438.514592241576,747304.2856499619,466168.7261023233,281135.55954763864,4668.504401617516,2.3791492594720287,1.5787809266758608,0.5939367239652872,1.6581635096336171,471.4511669550099,19343,-0.22652930739892518,337,0.837710105907328,0.6756901170392807,6.146512834685405,65.22679051844284,6.331583790620527,0,0,0,1,209973.45854547014,0
2017,2,CMP_001,224214.01069681687,207004.15196768325,17209.858729133615,9379.252104012925,573481.7502599122,332701.4987343812,240780.251525531,17079.169237587514,1.0772183025844184,3.8953577150069556,1.6354926900048832,1.3817640633999562,214.16390101865125,13183,0.7018568975350254,624,0.16162871409461377,0.8985541885270792,5.24500341761713,60.22992629041574,2.811772342928257,0,0,0,0,232307.42673136198,0
